"","name","elected","ideology","list","party_member","party","age","sex","educ"
"1616","encuestado_684",NA,"0.035467905426956",NA,NA,NA,NA,NA,NA
"1617","encuestado_685",NA,"0.699129467007994",NA,NA,NA,NA,NA,NA
"1618","encuestado_686",NA,"-0.469359796940544",NA,NA,NA,NA,NA,NA
"1619","encuestado_687",NA,"-1.33302062148973",NA,NA,NA,NA,NA,NA
"1620","encuestado_688",NA,"-0.705589816497994",NA,NA,NA,NA,NA,NA
"1621","encuestado_689",NA,"1.35967892065981",NA,NA,NA,NA,NA,NA
"1622","encuestado_690",NA,"-0.931483395829153",NA,NA,NA,NA,NA,NA
"1623","encuestado_691",NA,"-1.17512508197088",NA,NA,NA,NA,NA,NA
"1624","encuestado_692",NA,"-0.858778831364962",NA,NA,NA,NA,NA,NA
"1625","encuestado_693",NA,"1.42143011473632",NA,NA,NA,NA,NA,NA
"1626","encuestado_694",NA,"-0.458932547411195",NA,NA,NA,NA,NA,NA
"1627","encuestado_695",NA,"1.39712497567588",NA,NA,NA,NA,NA,NA
"1628","encuestado_696",NA,"-0.909344481738959",NA,NA,NA,NA,NA,NA
"1629","encuestado_697",NA,"-1.26762714813102",NA,NA,NA,NA,NA,NA
"1630","encuestado_698",NA,"-1.12139982534589",NA,NA,NA,NA,NA,NA
"1631","encuestado_699",NA,"-0.402466848953535",NA,NA,NA,NA,NA,NA
"1632","encuestado_700",NA,"-0.51063060309385",NA,NA,NA,NA,NA,NA
"1633","encuestado_701",NA,"-0.839617285982059",NA,NA,NA,NA,NA,NA
"1634","encuestado_702",NA,"-0.913848204501357",NA,NA,NA,NA,NA,NA
"1635","encuestado_703",NA,"1.44653587278762",NA,NA,NA,NA,NA,NA
"1636","encuestado_704",NA,"-0.595860335534471",NA,NA,NA,NA,NA,NA
"1637","encuestado_705",NA,"-0.943325819737816",NA,NA,NA,NA,NA,NA
"1638","encuestado_706",NA,"1.67112912072511",NA,NA,NA,NA,NA,NA
"1639","encuestado_707",NA,"-1.04149273794314",NA,NA,NA,NA,NA,NA
"1640","encuestado_708",NA,"-1.18680738592021",NA,NA,NA,NA,NA,NA
"1641","encuestado_709",NA,"-1.34091907955532",NA,NA,NA,NA,NA,NA
"1642","encuestado_710",NA,"0.789228085746834",NA,NA,NA,NA,NA,NA
"1643","encuestado_711",NA,"-0.820123137254769",NA,NA,NA,NA,NA,NA
"1644","encuestado_712",NA,"0.783281461187139",NA,NA,NA,NA,NA,NA
"1645","encuestado_713",NA,"-0.986783783221685",NA,NA,NA,NA,NA,NA
"1646","encuestado_714",NA,"1.45653607114574",NA,NA,NA,NA,NA,NA
"1647","encuestado_715",NA,"-1.32526976319638",NA,NA,NA,NA,NA,NA
"1648","encuestado_716",NA,"0.867885888385059",NA,NA,NA,NA,NA,NA
"1649","encuestado_717",NA,"0.730919889320013",NA,NA,NA,NA,NA,NA
"1650","encuestado_718",NA,"-0.537659802099186",NA,NA,NA,NA,NA,NA
"1651","encuestado_719",NA,"-0.487889955800643",NA,NA,NA,NA,NA,NA
"1652","encuestado_720",NA,"-1.13765831617926",NA,NA,NA,NA,NA,NA
"1653","encuestado_721",NA,"-0.733181700088334",NA,NA,NA,NA,NA,NA
"1654","encuestado_722",NA,"-0.657751878843722",NA,NA,NA,NA,NA,NA
"1655","encuestado_723",NA,"-0.851395892391281",NA,NA,NA,NA,NA,NA
"1656","encuestado_724",NA,"-1.26377039135803",NA,NA,NA,NA,NA,NA
"1657","encuestado_725",NA,"-1.21302277696322",NA,NA,NA,NA,NA,NA
"1658","encuestado_726",NA,"-1.06219826141907",NA,NA,NA,NA,NA,NA
"1659","encuestado_727",NA,"-0.858517019791457",NA,NA,NA,NA,NA,NA
"1660","encuestado_728",NA,"-0.777027968349798",NA,NA,NA,NA,NA,NA
"1661","encuestado_729",NA,"-1.25799542247269",NA,NA,NA,NA,NA,NA
"1662","encuestado_730",NA,"1.02964749288364",NA,NA,NA,NA,NA,NA
"1663","encuestado_731",NA,"-0.971911581521382",NA,NA,NA,NA,NA,NA
"1664","encuestado_732",NA,"-1.11398899348879",NA,NA,NA,NA,NA,NA
"1665","encuestado_733",NA,"-0.258897530453059",NA,NA,NA,NA,NA,NA
"1666","encuestado_734",NA,"-0.991721351465207",NA,NA,NA,NA,NA,NA
"1667","encuestado_735",NA,"-0.925158652838868",NA,NA,NA,NA,NA,NA
"1668","encuestado_736",NA,"-0.883637011332488",NA,NA,NA,NA,NA,NA
"1669","encuestado_737",NA,"-0.708481547312082",NA,NA,NA,NA,NA,NA
"1670","encuestado_738",NA,"-1.20656072965703",NA,NA,NA,NA,NA,NA
"1671","encuestado_739",NA,"-0.822568993733874",NA,NA,NA,NA,NA,NA
"1672","encuestado_740",NA,"-1.0694699886183",NA,NA,NA,NA,NA,NA
"1673","encuestado_741",NA,"-1.13038960810415",NA,NA,NA,NA,NA,NA
"1674","encuestado_742",NA,"-1.14480642896942",NA,NA,NA,NA,NA,NA
"1675","encuestado_743",NA,"-0.434836213312923",NA,NA,NA,NA,NA,NA
"1676","encuestado_744",NA,"-1.17311370622035",NA,NA,NA,NA,NA,NA
"1677","encuestado_745",NA,"-1.50853672185161",NA,NA,NA,NA,NA,NA
"1678","encuestado_746",NA,"1.02470489892496",NA,NA,NA,NA,NA,NA
"1679","encuestado_747",NA,"1.44762099664803",NA,NA,NA,NA,NA,NA
"1680","encuestado_748",NA,"-1.0822985594232",NA,NA,NA,NA,NA,NA
"1681","encuestado_749",NA,"0.731144462138482",NA,NA,NA,NA,NA,NA
"1682","encuestado_750",NA,"-0.617009587388996",NA,NA,NA,NA,NA,NA
"1683","encuestado_751",NA,"1.37387326699343",NA,NA,NA,NA,NA,NA
"1684","encuestado_752",NA,"1.34545411739271",NA,NA,NA,NA,NA,NA
"1685","encuestado_753",NA,"-1.35720487285686",NA,NA,NA,NA,NA,NA
"1686","encuestado_754",NA,"-0.525177933722062",NA,NA,NA,NA,NA,NA
"1687","encuestado_755",NA,"-0.85600663459989",NA,NA,NA,NA,NA,NA
"1688","encuestado_756",NA,"-0.836471610877817",NA,NA,NA,NA,NA,NA
"1689","encuestado_757",NA,"-1.1172031206416",NA,NA,NA,NA,NA,NA
"1690","encuestado_758",NA,"-1.26258496084266",NA,NA,NA,NA,NA,NA
"1691","encuestado_759",NA,"0.0154337442497249",NA,NA,NA,NA,NA,NA
"1692","encuestado_760",NA,"-0.785899765108585",NA,NA,NA,NA,NA,NA
"1693","encuestado_761",NA,"1.39939739664148",NA,NA,NA,NA,NA,NA
"1694","encuestado_762",NA,"-1.30902398116275",NA,NA,NA,NA,NA,NA
"1695","encuestado_763",NA,"-0.781813897407199",NA,NA,NA,NA,NA,NA
"1696","encuestado_764",NA,"-1.08068873452327",NA,NA,NA,NA,NA,NA
"1697","encuestado_765",NA,"-0.933442887035845",NA,NA,NA,NA,NA,NA
"1698","encuestado_766",NA,"-0.997282553641048",NA,NA,NA,NA,NA,NA
"1699","encuestado_767",NA,"-0.291879859685344",NA,NA,NA,NA,NA,NA
"1700","encuestado_768",NA,"-0.897154584597994",NA,NA,NA,NA,NA,NA
"1701","encuestado_769",NA,"-0.889123103816322",NA,NA,NA,NA,NA,NA
"1702","encuestado_770",NA,"-0.695331992353924",NA,NA,NA,NA,NA,NA
"1703","encuestado_771",NA,"1.19795660206314",NA,NA,NA,NA,NA,NA
"1704","encuestado_772",NA,"-0.317194516614868",NA,NA,NA,NA,NA,NA
"1705","encuestado_773",NA,"-0.887595094484401",NA,NA,NA,NA,NA,NA
"1706","encuestado_774",NA,"-1.26038393431984",NA,NA,NA,NA,NA,NA
"1707","encuestado_775",NA,"-0.711170780352574",NA,NA,NA,NA,NA,NA
"1708","encuestado_776",NA,"-1.06953738978069",NA,NA,NA,NA,NA,NA
"1709","encuestado_777",NA,"-1.23284859351917",NA,NA,NA,NA,NA,NA
"1710","encuestado_778",NA,"0.776715176720043",NA,NA,NA,NA,NA,NA
"1711","encuestado_779",NA,"-0.906106156030079",NA,NA,NA,NA,NA,NA
"1712","encuestado_780",NA,"-0.600598913365543",NA,NA,NA,NA,NA,NA
"1713","encuestado_781",NA,"-0.673330137826079",NA,NA,NA,NA,NA,NA
"1714","encuestado_782",NA,"0.71174182052535",NA,NA,NA,NA,NA,NA
"1715","encuestado_783",NA,"-0.8056518160611",NA,NA,NA,NA,NA,NA
"1716","encuestado_784",NA,"-1.29292096780678",NA,NA,NA,NA,NA,NA
"1717","encuestado_785",NA,"-1.15463758548919",NA,NA,NA,NA,NA,NA
"1718","encuestado_786",NA,"-1.2075253923765",NA,NA,NA,NA,NA,NA
"1719","encuestado_787",NA,"1.63225236220341",NA,NA,NA,NA,NA,NA
"1720","encuestado_788",NA,"-0.642267305188851",NA,NA,NA,NA,NA,NA
"1721","encuestado_789",NA,"-0.87244686235828",NA,NA,NA,NA,NA,NA
"1722","encuestado_790",NA,"-0.950038818768156",NA,NA,NA,NA,NA,NA
"1723","encuestado_791",NA,"1.42767816285726",NA,NA,NA,NA,NA,NA
"1724","encuestado_792",NA,"-0.346318625606168",NA,NA,NA,NA,NA,NA
"1725","encuestado_793",NA,"-0.471596600004686",NA,NA,NA,NA,NA,NA
"1726","encuestado_794",NA,"1.14184511920316",NA,NA,NA,NA,NA,NA
"1727","encuestado_795",NA,"-1.17258912469205",NA,NA,NA,NA,NA,NA
"1728","encuestado_796",NA,"-0.882571769557773",NA,NA,NA,NA,NA,NA
"1729","encuestado_797",NA,"-0.810577033158264",NA,NA,NA,NA,NA,NA
"1730","encuestado_798",NA,"-0.725490255237711",NA,NA,NA,NA,NA,NA
"1731","encuestado_799",NA,"-0.249273908912217",NA,NA,NA,NA,NA,NA
"1732","encuestado_800",NA,"-0.621211393380126",NA,NA,NA,NA,NA,NA
"1733","encuestado_801",NA,"-0.658760410368857",NA,NA,NA,NA,NA,NA
"1734","encuestado_802",NA,"0.478866626836903",NA,NA,NA,NA,NA,NA
"1735","encuestado_803",NA,"0.741792604091673",NA,NA,NA,NA,NA,NA
"1736","encuestado_804",NA,"-0.909408647278031",NA,NA,NA,NA,NA,NA
"1737","encuestado_805",NA,"1.24185367348996",NA,NA,NA,NA,NA,NA
"1738","encuestado_806",NA,"-0.60681601276711",NA,NA,NA,NA,NA,NA
"1739","encuestado_807",NA,"1.71133500931888",NA,NA,NA,NA,NA,NA
"1740","encuestado_808",NA,"-0.224426608514742",NA,NA,NA,NA,NA,NA
"1741","encuestado_809",NA,"-1.07075725023133",NA,NA,NA,NA,NA,NA
"1742","encuestado_810",NA,"0.682527868716565",NA,NA,NA,NA,NA,NA
"1743","encuestado_811",NA,"-0.269971501645859",NA,NA,NA,NA,NA,NA
"1744","encuestado_812",NA,"0.938071137459065",NA,NA,NA,NA,NA,NA
"1745","encuestado_813",NA,"-0.737089202349044",NA,NA,NA,NA,NA,NA
"1746","encuestado_814",NA,"-0.317337609089435",NA,NA,NA,NA,NA,NA
"1747","encuestado_815",NA,"-0.369902171013761",NA,NA,NA,NA,NA,NA
"1748","encuestado_816",NA,"-0.929914640012317",NA,NA,NA,NA,NA,NA
"1749","encuestado_817",NA,"-1.17710782714834",NA,NA,NA,NA,NA,NA
"1750","encuestado_818",NA,"1.39997490391225",NA,NA,NA,NA,NA,NA
"1751","encuestado_819",NA,"0.598740271052813",NA,NA,NA,NA,NA,NA
"1752","encuestado_820",NA,"-0.840639803869401",NA,NA,NA,NA,NA,NA
"1753","encuestado_821",NA,"-0.738589608587524",NA,NA,NA,NA,NA,NA
"1754","encuestado_822",NA,"-0.752461208993863",NA,NA,NA,NA,NA,NA
"1755","encuestado_823",NA,"-0.0790443735990878",NA,NA,NA,NA,NA,NA
"1756","encuestado_824",NA,"1.02432331632879",NA,NA,NA,NA,NA,NA
"1757","encuestado_825",NA,"-0.99936373671807",NA,NA,NA,NA,NA,NA
"1758","encuestado_826",NA,"-1.07215397440242",NA,NA,NA,NA,NA,NA
"1759","encuestado_827",NA,"-0.379349724624438",NA,NA,NA,NA,NA,NA
"1760","encuestado_828",NA,"-0.796819035363955",NA,NA,NA,NA,NA,NA
"1761","encuestado_829",NA,"-1.02226203542624",NA,NA,NA,NA,NA,NA
"1762","encuestado_830",NA,"-0.850153864745428",NA,NA,NA,NA,NA,NA
"1763","encuestado_831",NA,"-0.528424573808052",NA,NA,NA,NA,NA,NA
"1764","encuestado_832",NA,"-0.995461266981228",NA,NA,NA,NA,NA,NA
"1765","encuestado_833",NA,"1.68797870529614",NA,NA,NA,NA,NA,NA
"1766","encuestado_834",NA,"-0.921270732432399",NA,NA,NA,NA,NA,NA
"1767","encuestado_835",NA,"-0.696613113860918",NA,NA,NA,NA,NA,NA
"1768","encuestado_836",NA,"-0.770652886761585",NA,NA,NA,NA,NA,NA
"1769","encuestado_837",NA,"-0.851186583121702",NA,NA,NA,NA,NA,NA
"1770","encuestado_838",NA,"1.38769186109175",NA,NA,NA,NA,NA,NA
"1771","encuestado_839",NA,"-0.962302969878755",NA,NA,NA,NA,NA,NA
"1772","encuestado_840",NA,"0.180869796375017",NA,NA,NA,NA,NA,NA
"1773","encuestado_841",NA,"-0.623547944420425",NA,NA,NA,NA,NA,NA
"1774","encuestado_842",NA,"-1.12654517250988",NA,NA,NA,NA,NA,NA
"1775","encuestado_843",NA,"0.789789684500573",NA,NA,NA,NA,NA,NA
"1776","encuestado_844",NA,"-1.22210545750106",NA,NA,NA,NA,NA,NA
"1777","encuestado_845",NA,"0.775763504593169",NA,NA,NA,NA,NA,NA
"1778","encuestado_846",NA,"-1.06244997501861",NA,NA,NA,NA,NA,NA
"1779","encuestado_847",NA,"-1.10784902398925",NA,NA,NA,NA,NA,NA
"1780","encuestado_848",NA,"-0.402432476839151",NA,NA,NA,NA,NA,NA
"1781","encuestado_849",NA,"-1.0910884318991",NA,NA,NA,NA,NA,NA
"1782","encuestado_850",NA,"-1.09967496984335",NA,NA,NA,NA,NA,NA
"1783","encuestado_851",NA,"1.28168515377777",NA,NA,NA,NA,NA,NA
"1784","encuestado_852",NA,"1.01218423677043",NA,NA,NA,NA,NA,NA
"1785","encuestado_853",NA,"1.23158989382463",NA,NA,NA,NA,NA,NA
"1786","encuestado_854",NA,"-0.602157557992242",NA,NA,NA,NA,NA,NA
"1787","encuestado_855",NA,"-0.93405696820388",NA,NA,NA,NA,NA,NA
"1788","encuestado_856",NA,"-0.557233427273788",NA,NA,NA,NA,NA,NA
"1789","encuestado_857",NA,"-0.572733140012086",NA,NA,NA,NA,NA,NA
"1790","encuestado_858",NA,"-1.06443948838559",NA,NA,NA,NA,NA,NA
"1791","encuestado_859",NA,"-0.818397334302411",NA,NA,NA,NA,NA,NA
"1792","encuestado_860",NA,"-0.421362211872137",NA,NA,NA,NA,NA,NA
"1793","encuestado_861",NA,"0.822314336770343",NA,NA,NA,NA,NA,NA
"1794","encuestado_862",NA,"-1.26850864224143",NA,NA,NA,NA,NA,NA
"1795","encuestado_863",NA,"0.697317472707091",NA,NA,NA,NA,NA,NA
"1796","encuestado_864",NA,"-0.0466892798064428",NA,NA,NA,NA,NA,NA
"1797","encuestado_865",NA,"-1.2213376801548",NA,NA,NA,NA,NA,NA
"1798","encuestado_866",NA,"-0.890693679799514",NA,NA,NA,NA,NA,NA
"1799","encuestado_867",NA,"-0.444722593471279",NA,NA,NA,NA,NA,NA
"1800","encuestado_868",NA,"-1.01818995861524",NA,NA,NA,NA,NA,NA
"1801","encuestado_869",NA,"-0.206492553492032",NA,NA,NA,NA,NA,NA
"1802","encuestado_870",NA,"-0.245537945373903",NA,NA,NA,NA,NA,NA
"1803","encuestado_871",NA,"-0.7171541477913",NA,NA,NA,NA,NA,NA
"1804","encuestado_872",NA,"-0.689029047091196",NA,NA,NA,NA,NA,NA
"1805","encuestado_873",NA,"-0.328201277552624",NA,NA,NA,NA,NA,NA
"1806","encuestado_874",NA,"-0.616420653701728",NA,NA,NA,NA,NA,NA
"1807","encuestado_875",NA,"-0.894685953283583",NA,NA,NA,NA,NA,NA
"1808","encuestado_876",NA,"-0.706241139763593",NA,NA,NA,NA,NA,NA
"1809","encuestado_877",NA,"0.730711724033412",NA,NA,NA,NA,NA,NA
"1810","encuestado_878",NA,"0.843727633724041",NA,NA,NA,NA,NA,NA
"1811","encuestado_879",NA,"-1.38286806782753",NA,NA,NA,NA,NA,NA
"1812","encuestado_880",NA,"-0.578788776471012",NA,NA,NA,NA,NA,NA
"1813","encuestado_881",NA,"0.845354447885954",NA,NA,NA,NA,NA,NA
"1814","encuestado_882",NA,"1.13949533975195",NA,NA,NA,NA,NA,NA
"1815","encuestado_883",NA,"0.92427297572938",NA,NA,NA,NA,NA,NA
"1816","encuestado_884",NA,"0.672437484655493",NA,NA,NA,NA,NA,NA
"1817","encuestado_885",NA,"-0.520983978079671",NA,NA,NA,NA,NA,NA
"1818","encuestado_886",NA,"-1.01216487268263",NA,NA,NA,NA,NA,NA
"1819","encuestado_887",NA,"0.740818061153298",NA,NA,NA,NA,NA,NA
"1820","encuestado_888",NA,"-0.347378680330667",NA,NA,NA,NA,NA,NA
"1821","encuestado_889",NA,"0.874861490938481",NA,NA,NA,NA,NA,NA
"1822","encuestado_890",NA,"-1.1982448427986",NA,NA,NA,NA,NA,NA
"1823","encuestado_891",NA,"-0.773840714878527",NA,NA,NA,NA,NA,NA
"1824","encuestado_892",NA,"0.582207036844523",NA,NA,NA,NA,NA,NA
"1825","encuestado_893",NA,"-0.964697004000276",NA,NA,NA,NA,NA,NA
"1826","encuestado_894",NA,"-0.199247379694232",NA,NA,NA,NA,NA,NA
"1827","encuestado_895",NA,"-0.731976652119447",NA,NA,NA,NA,NA,NA
"1828","encuestado_896",NA,"0.769594057239368",NA,NA,NA,NA,NA,NA
"1829","encuestado_897",NA,"-1.09336057068315",NA,NA,NA,NA,NA,NA
"1830","encuestado_898",NA,"-0.0253580543830059",NA,NA,NA,NA,NA,NA
"1831","encuestado_899",NA,"-0.927535439409183",NA,NA,NA,NA,NA,NA
"1832","encuestado_900",NA,"-0.0951173212742977",NA,NA,NA,NA,NA,NA
"1833","encuestado_901",NA,"-0.427687521866954",NA,NA,NA,NA,NA,NA
"1834","encuestado_902",NA,"-1.22929869253077",NA,NA,NA,NA,NA,NA
"1835","encuestado_903",NA,"-0.128722434805445",NA,NA,NA,NA,NA,NA
"1836","encuestado_904",NA,"-0.256222898423151",NA,NA,NA,NA,NA,NA
"1837","encuestado_905",NA,"-0.313769367322606",NA,NA,NA,NA,NA,NA
"1838","encuestado_906",NA,"0.0613169870946085",NA,NA,NA,NA,NA,NA
"1839","encuestado_907",NA,"-0.863419797613037",NA,NA,NA,NA,NA,NA
"1840","encuestado_908",NA,"-1.25164785231113",NA,NA,NA,NA,NA,NA
"1841","encuestado_909",NA,"-0.364307073193024",NA,NA,NA,NA,NA,NA
"1842","encuestado_910",NA,"1.32157684611266",NA,NA,NA,NA,NA,NA
"1843","encuestado_911",NA,"1.50246293583554",NA,NA,NA,NA,NA,NA
"1844","encuestado_912",NA,"-0.142953898336846",NA,NA,NA,NA,NA,NA
"1845","encuestado_913",NA,"-0.948182892793009",NA,NA,NA,NA,NA,NA
"1846","encuestado_914",NA,"-0.908886916353797",NA,NA,NA,NA,NA,NA
"1847","encuestado_915",NA,"-0.83260210911994",NA,NA,NA,NA,NA,NA
"1848","encuestado_916",NA,"-1.17979193997944",NA,NA,NA,NA,NA,NA
"1849","encuestado_917",NA,"-1.52199725797666",NA,NA,NA,NA,NA,NA
"1850","encuestado_918",NA,"-0.206111614971246",NA,NA,NA,NA,NA,NA
"1851","encuestado_919",NA,"-0.586349203626856",NA,NA,NA,NA,NA,NA
"1852","encuestado_920",NA,"-1.12504976009975",NA,NA,NA,NA,NA,NA
"1853","encuestado_921",NA,"1.23640140284204",NA,NA,NA,NA,NA,NA
"1854","encuestado_922",NA,"-0.722351083034498",NA,NA,NA,NA,NA,NA
"1855","encuestado_923",NA,"-1.1997997367274",NA,NA,NA,NA,NA,NA
"1856","encuestado_924",NA,"-0.146727319889439",NA,NA,NA,NA,NA,NA
"1857","encuestado_925",NA,"-0.561128178279901",NA,NA,NA,NA,NA,NA
"1858","encuestado_926",NA,"-0.915307757850189",NA,NA,NA,NA,NA,NA
"1859","encuestado_927",NA,"1.07258390816835",NA,NA,NA,NA,NA,NA
"1860","encuestado_928",NA,"-0.802991430708257",NA,NA,NA,NA,NA,NA
"1861","encuestado_929",NA,"0.894468106541633",NA,NA,NA,NA,NA,NA
"1862","encuestado_930",NA,"-1.09907196815501",NA,NA,NA,NA,NA,NA
"1863","encuestado_931",NA,"1.15016066120438",NA,NA,NA,NA,NA,NA
"1864","encuestado_932",NA,"1.39539637183762",NA,NA,NA,NA,NA,NA
"1865","encuestado_933",NA,"-0.0381471752861827",NA,NA,NA,NA,NA,NA
"1866","encuestado_934",NA,"-1.38201768654534",NA,NA,NA,NA,NA,NA
"1867","encuestado_935",NA,"-0.935879977923466",NA,NA,NA,NA,NA,NA
"1868","encuestado_936",NA,"-1.1897365180761",NA,NA,NA,NA,NA,NA
"1869","encuestado_937",NA,"-0.753433953748377",NA,NA,NA,NA,NA,NA
"1870","encuestado_938",NA,"-0.147074240467313",NA,NA,NA,NA,NA,NA
"1871","encuestado_939",NA,"1.3374407547019",NA,NA,NA,NA,NA,NA
"1872","encuestado_940",NA,"-1.17999015659954",NA,NA,NA,NA,NA,NA
"1873","encuestado_941",NA,"-0.736300995357007",NA,NA,NA,NA,NA,NA
"1874","encuestado_942",NA,"-1.03796914799013",NA,NA,NA,NA,NA,NA
"1875","encuestado_943",NA,"-0.86797609880317",NA,NA,NA,NA,NA,NA
"1876","encuestado_944",NA,"0.678420924314126",NA,NA,NA,NA,NA,NA
"1877","encuestado_945",NA,"-0.122098308303354",NA,NA,NA,NA,NA,NA
"1878","encuestado_946",NA,"-0.976047780945535",NA,NA,NA,NA,NA,NA
"1879","encuestado_947",NA,"-0.125729866950868",NA,NA,NA,NA,NA,NA
"1880","encuestado_948",NA,"0.847703545369476",NA,NA,NA,NA,NA,NA
"1881","encuestado_949",NA,"-0.950190073988703",NA,NA,NA,NA,NA,NA
"1882","encuestado_950",NA,"-0.421287849378833",NA,NA,NA,NA,NA,NA
"1883","encuestado_951",NA,"1.3247680414729",NA,NA,NA,NA,NA,NA
"1884","encuestado_952",NA,"-0.731361767557906",NA,NA,NA,NA,NA,NA
"1885","encuestado_953",NA,"-0.8657530423741",NA,NA,NA,NA,NA,NA
"1886","encuestado_954",NA,"-0.7454241065711",NA,NA,NA,NA,NA,NA
"1887","encuestado_955",NA,"-1.0814098563527",NA,NA,NA,NA,NA,NA
"1888","encuestado_956",NA,"-0.892181663738595",NA,NA,NA,NA,NA,NA
"1889","encuestado_957",NA,"-0.585449301572406",NA,NA,NA,NA,NA,NA
"1890","encuestado_958",NA,"-1.07065948058851",NA,NA,NA,NA,NA,NA
"1891","encuestado_959",NA,"-0.9957753068218",NA,NA,NA,NA,NA,NA
"1892","encuestado_960",NA,"-0.814009183352897",NA,NA,NA,NA,NA,NA
"1893","encuestado_961",NA,"0.901653235366961",NA,NA,NA,NA,NA,NA
"1894","encuestado_962",NA,"-0.325797745856134",NA,NA,NA,NA,NA,NA
"1895","encuestado_963",NA,"-0.747859511099475",NA,NA,NA,NA,NA,NA
"1896","encuestado_964",NA,"-1.37918143507619",NA,NA,NA,NA,NA,NA
"1897","encuestado_965",NA,"-0.95791709567019",NA,NA,NA,NA,NA,NA
"1898","encuestado_966",NA,"0.87126743437742",NA,NA,NA,NA,NA,NA
"1899","encuestado_967",NA,"-0.690425650473942",NA,NA,NA,NA,NA,NA
"1900","encuestado_968",NA,"-0.962745960123325",NA,NA,NA,NA,NA,NA
"1901","encuestado_969",NA,"0.826886068294753",NA,NA,NA,NA,NA,NA
"1902","encuestado_970",NA,"-1.00095735750302",NA,NA,NA,NA,NA,NA
"1903","encuestado_971",NA,"0.721673530642886",NA,NA,NA,NA,NA,NA
"1904","encuestado_972",NA,"0.910590511849803",NA,NA,NA,NA,NA,NA
"1905","encuestado_973",NA,"-0.707096462674445",NA,NA,NA,NA,NA,NA
"1906","encuestado_974",NA,"-0.00907518506421087",NA,NA,NA,NA,NA,NA
"1907","encuestado_975",NA,"-0.640737629236888",NA,NA,NA,NA,NA,NA
"1908","encuestado_976",NA,"-1.25056786079689",NA,NA,NA,NA,NA,NA
"1909","encuestado_977",NA,"-0.876935061875752",NA,NA,NA,NA,NA,NA
"1910","encuestado_978",NA,"0.651728941645583",NA,NA,NA,NA,NA,NA
"1911","encuestado_979",NA,"0.75213362599842",NA,NA,NA,NA,NA,NA
"1912","encuestado_980",NA,"-0.700731771656451",NA,NA,NA,NA,NA,NA
"1913","encuestado_981",NA,"1.10983966772687",NA,NA,NA,NA,NA,NA
"1914","encuestado_982",NA,"-0.726168847647662",NA,NA,NA,NA,NA,NA
"1915","encuestado_983",NA,"-0.576225339166755",NA,NA,NA,NA,NA,NA
"1916","encuestado_984",NA,"-1.2043672751838",NA,NA,NA,NA,NA,NA
"1917","encuestado_985",NA,"-0.767723724872296",NA,NA,NA,NA,NA,NA
"1918","encuestado_986",NA,"0.704245920993265",NA,NA,NA,NA,NA,NA
"1919","encuestado_987",NA,"-0.546015322285633",NA,NA,NA,NA,NA,NA
"1920","encuestado_988",NA,"-0.893113925547268",NA,NA,NA,NA,NA,NA
"1921","encuestado_989",NA,"-0.754251658301554",NA,NA,NA,NA,NA,NA
"1922","encuestado_990",NA,"1.2066237418254",NA,NA,NA,NA,NA,NA
"1923","encuestado_991",NA,"-1.29122210624659",NA,NA,NA,NA,NA,NA
"1924","encuestado_992",NA,"-0.814616549213755",NA,NA,NA,NA,NA,NA
"1925","encuestado_993",NA,"-0.277524087912103",NA,NA,NA,NA,NA,NA
"1926","encuestado_994",NA,"0.653835816282221",NA,NA,NA,NA,NA,NA
"1927","encuestado_995",NA,"-1.23533767265853",NA,NA,NA,NA,NA,NA
"1928","encuestado_996",NA,"-0.3924548635774",NA,NA,NA,NA,NA,NA
"1929","encuestado_997",NA,"-1.12622273713463",NA,NA,NA,NA,NA,NA
"1930","encuestado_998",NA,"-0.510345501895391",NA,NA,NA,NA,NA,NA
"1931","encuestado_999",NA,"1.01709110445145",NA,NA,NA,NA,NA,NA
"1932","encuestado_1000",NA,"-0.818417884351457",NA,NA,NA,NA,NA,NA
"1933","encuestado_1001",NA,"-0.674683768324616",NA,NA,NA,NA,NA,NA
"1934","encuestado_1002",NA,"-0.773957327365853",NA,NA,NA,NA,NA,NA
"1935","encuestado_1003",NA,"0.939799675198588",NA,NA,NA,NA,NA,NA
"1936","encuestado_1004",NA,"1.02687656707137",NA,NA,NA,NA,NA,NA
"1937","encuestado_1005",NA,"-1.09384445334637",NA,NA,NA,NA,NA,NA
"1938","encuestado_1006",NA,"-0.821307309792919",NA,NA,NA,NA,NA,NA
"1939","encuestado_1007",NA,"-0.47460919740148",NA,NA,NA,NA,NA,NA
"1940","encuestado_1008",NA,"1.47426080211578",NA,NA,NA,NA,NA,NA
"1941","encuestado_1009",NA,"-0.953936392088002",NA,NA,NA,NA,NA,NA
"1942","encuestado_1010",NA,"-0.649901404358567",NA,NA,NA,NA,NA,NA
"1943","encuestado_1011",NA,"0.830452034000475",NA,NA,NA,NA,NA,NA
"1944","encuestado_1012",NA,"0.0273632577233413",NA,NA,NA,NA,NA,NA
"1945","encuestado_1013",NA,"-0.573955416900491",NA,NA,NA,NA,NA,NA
"1946","encuestado_1014",NA,"-0.669278552914953",NA,NA,NA,NA,NA,NA
"1947","encuestado_1015",NA,"-0.665076868730836",NA,NA,NA,NA,NA,NA
"1948","encuestado_1016",NA,"0.956557773044558",NA,NA,NA,NA,NA,NA
"1949","encuestado_1017",NA,"0.820618237174053",NA,NA,NA,NA,NA,NA
